date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:38	253968/253968	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:37%20GMT	https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:38	23981/23981	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2011:01:38%20GMT	https://medium.com/data-breach/android-app://com.medium.reader/https/medium.com/p/65d7f3a72d40	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/android-app_/com.medium.reader/https/medium.com/p/65d7f3a72d40	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:42	231749/231749	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:39%20GMT	https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6?source=author_recirc-----65d7f3a72d40----0---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f63d5a.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:43	231749/231749	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:40%20GMT	https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6?source=author_recirc-----65d7f3a72d40----0---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f63c97.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:44	247390/247390	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:41%20GMT	https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----65d7f3a72d40----1---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e7ce7.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:45	247390/247390	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:42%20GMT	https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----65d7f3a72d40----1---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4ec067.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:46	265517/265517	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:43%20GMT	https://medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf?source=author_recirc-----65d7f3a72d40----2---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cfb09a.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:47	265517/265517	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:44%20GMT	https://medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf?source=author_recirc-----65d7f3a72d40----2---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cfa004.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:48	241391/241391	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:45%20GMT	https://medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d?source=author_recirc-----65d7f3a72d40----3---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d5402.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:48	241391/241391	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:46%20GMT	https://medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d?source=author_recirc-----65d7f3a72d40----3---------------------045f0a07_5ff3_4e8d_bcae_0ba70a70039c-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d23c3.html	(from https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:48	247390/247390	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:47%20GMT	https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:48	23981/23981	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2011:01:48%20GMT	https://medium.com/data-breach/android-app://com.medium.reader/https/medium.com/p/c7396d6e7c4e	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/android-app_/com.medium.reader/https/medium.com/p/c7396d6e7c4e	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:52	253968/253968	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:49%20GMT	https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----c7396d6e7c4e----0---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d409375.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:53	253968/253968	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:50%20GMT	https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----c7396d6e7c4e----0---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40bfc3.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:53	231749/231749	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:51%20GMT	https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6?source=author_recirc-----c7396d6e7c4e----1---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f619c9.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:55	231749/231749	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:52%20GMT	https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6?source=author_recirc-----c7396d6e7c4e----1---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f67b71.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:56	265517/265517	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:53%20GMT	https://medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf?source=author_recirc-----c7396d6e7c4e----2---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf1356.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:57	265517/265517	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:54%20GMT	https://medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf?source=author_recirc-----c7396d6e7c4e----2---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cfe5f3.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:57	241391/241391	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:55%20GMT	https://medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d?source=author_recirc-----c7396d6e7c4e----3---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d7c29.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
13:01:58	241391/241391	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:56%20GMT	https://medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d?source=author_recirc-----c7396d6e7c4e----3---------------------c7265e0a_c3f1_4d46_8450_327bdb2709fe-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d22bc.html	(from https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------)
